Date,Streamflow(CMS),Baseflow(CMS)
2017-08-12,16.43325952,11.963
2017-08-13,8.606716899,8.446
2017-08-14,6.925175999,6.227
2017-08-15,6.340537862,4.974
2017-08-16,9.566132239,5.37
2017-08-17,10.90167137,5.976
2017-08-18,10.66129701,6.194
2017-08-19,9.110765841,5.818
2017-08-20,8.373446502,5.407
2017-08-21,8.14039489,5.137
2017-08-22,7.766355428,4.89
2017-08-23,7.766355428,4.771
2017-08-24,5.824766571,4.111
2017-08-25,0.0,1.985
2017-08-26,0.0,0.958
2017-08-27,0.0,0.462
2017-08-28,2.805139814,1.094
2017-08-29,11.96826061,4.242
2017-08-30,7.750951048,4.453
2017-08-31,6.291396642,4.102
2017-09-01,5.244708302,3.608
2017-09-02,4.755429123,3.218
2017-09-03,4.343143043,2.901
2017-09-04,4.023285699,2.649
2017-09-05,3.890437344,2.486
2017-09-06,3.938139841,2.422
2017-09-07,3.789457872,2.345
2017-09-08,3.417419629,2.193
2017-09-09,3.248122763,2.067
2017-09-10,3.208297915,1.994
2017-09-11,17.54643605,6.408
2017-09-12,8.762101226,5.813
2017-09-13,4.248880764,4.125
2017-09-14,3.025363616,2.93
2017-09-15,2.666252729,2.242
2017-09-16,2.427148027,1.836
2017-09-17,2.380386799,1.625
2017-09-18,2.215164196,1.472
2017-09-19,1.98549551,1.327
2017-09-20,1.97470931,1.253
2017-09-21,1.959006054,1.213
2017-09-22,1.823708508,1.152
2017-09-23,1.692881817,1.082
2017-09-24,1.61916189,1.025
2017-09-25,1.599986675,0.991
2017-09-26,1.495248147,0.942
2017-09-27,1.969930998,1.066
2017-09-28,2.587569791,1.318
2017-09-29,1.991523334,1.254
2017-09-30,1.793258806,1.162
2017-10-01,1.648649861,1.073
2017-10-02,5.740068327,2.299
2017-10-03,3.431059955,2.175
2017-10-04,2.399858252,1.795
2017-10-05,2.03419209,1.498
2017-10-06,2.003101427,1.345
2017-10-07,2.239571226,1.344
2017-10-08,1.87049934,1.229
2017-10-09,1.678137832,1.114
2017-10-10,1.519177773,1.009
2017-10-11,1.385052663,0.917
2017-10-12,1.391597976,0.875
2017-10-13,1.748545983,0.965
2017-10-14,1.436696946,0.912
2017-10-15,1.240387694,0.825
2017-10-16,1.160021315,0.758
2017-10-17,1.078030255,0.7
2017-10-18,0.991493853,0.646
2017-10-19,0.995427326,0.621
2017-10-20,0.991493853,0.607
2017-10-21,0.968561937,0.594
2017-10-22,0.904535814,0.567
2017-10-23,0.882443704,0.548
2017-10-24,0.806890033,0.515
2017-10-25,0.806890033,0.499
2017-10-26,0.806890033,0.491
2017-10-27,0.782893679,0.48
2017-10-28,0.745185123,0.463
2017-10-29,0.72461682,0.448
2017-10-30,0.692047552,0.431
2017-10-31,0.679019845,0.419
2017-11-01,0.652964432,0.405
2017-11-02,0.646450578,0.396
2017-11-03,0.646450578,0.392
2017-11-04,0.646450578,0.39
2017-11-05,0.643366253,0.388
2017-11-06,0.600185699,0.374
2017-11-07,0.600185699,0.367
2017-11-08,0.590932723,0.361
2017-11-09,0.572426772,0.352
2017-11-10,0.572426772,0.348
2017-11-11,0.552055825,0.339
2017-11-12,0.549145689,0.334
2017-11-13,0.546235554,0.331
2017-11-14,0.572426772,0.337
2017-11-15,0.552055825,0.334
2017-11-16,0.502583524,0.317
2017-11-17,0.502583524,0.309
2017-11-18,0.502583524,0.305
2017-11-19,0.502583524,0.303
2017-11-20,0.497115065,0.301
2017-11-21,0.467038542,0.29
2017-11-22,0.491646607,0.293
2017-11-23,0.483443919,0.291
2017-11-24,0.458835854,0.283
2017-11-25,0.461570084,0.28
2017-11-26,0.47797546,0.284
2017-11-27,0.497115065,0.291
2017-11-28,0.502583524,0.296
2017-11-29,0.494380836,0.296
2017-11-30,0.450633166,0.283
2017-12-01,0.442430478,0.274
2017-12-02,0.401171593,0.257
2017-12-03,0.396058675,0.247
2017-12-04,0.390945757,0.241
2017-12-05,0.398615134,0.24
2017-12-06,0.385832839,0.236
2017-12-07,0.375607002,0.23
2017-12-08,0.375607002,0.228
2017-12-09,0.344710551,0.217
2017-12-10,0.330450651,0.207
2017-12-11,0.3185674,0.199
2017-12-12,0.3185674,0.195
2017-12-13,0.28564848,0.183
2017-12-14,0.261877046,0.17
2017-12-15,0.253836881,0.161
2017-12-16,0.259867005,0.158
2017-12-17,0.257856963,0.156
2017-12-18,0.265897128,0.158
2017-12-19,0.266081682,0.159
2017-12-20,0.249816798,0.154
2017-12-21,0.255846922,0.154
2017-12-22,0.249816798,0.152
2017-12-23,0.265897128,0.156
2017-12-24,0.29003767,0.165
2017-12-25,0.410093517,0.207
2017-12-26,0.416510347,0.229
2017-12-27,0.314360267,0.208
2017-12-28,0.287843075,0.19
2017-12-29,0.274675507,0.177
2017-12-30,0.274675507,0.171
2017-12-31,0.29003767,0.173
2018-01-01,3.43631088,1.15
2018-01-02,3.532224254,1.651
2018-01-03,3.516597859,1.888
2018-01-04,3.461905478,1.986
2018-01-05,3.422839491,2.021
2018-01-06,3.407213097,2.033
2018-01-07,3.344707518,2.019
2018-01-08,3.344707518,2.013
2018-01-09,3.344930459,2.01
2018-01-10,3.391586702,2.023
2018-01-11,3.344707518,2.015
2018-01-12,3.16254136,1.954
2018-01-13,3.16254136,1.925
